company_name_label,isin,label,symbol,company_name,promoter_total_pct,pct_IndividualsOrHinduUndividedFamily,num_IndividualsOrHinduUndividedFamily,pct_NonResidentIndividualsOrForeignIndividuals,num_NonResidentIndividualsOrForeignIndividuals,pct_DirectorsAndDirectorsRelatives,num_DirectorsAndDirectorsRelatives,pct_KeyManagerialPersonnel,num_KeyManagerialPersonnel,pct_RelativesOfPromotersOtherThanPromoterGroup,num_RelativesOfPromotersOtherThanPromoterGroup,pct_TrustsWhereAnyPersonBelongingToPromoterAndPromoterGroupIsisTrusteeOrBeneficiaryOrAuthorOfTrust,num_TrustsWhereAnyPersonBelongingToPromoterAndPromoterGroupIsisTrusteeOrBeneficiaryOrAuthorOfTrust,pct_CentralGovernmentOrPresidentOfIndia,num_CentralGovernmentOrPresidentOfIndia,pct_StateGovernmentsOrGovernors,num_StateGovernmentsOrGovernors,pct_ShareholdingByCompaniesOrBodiesCorporatewhereCentralOrStateGovernmentIsPromoter,num_ShareholdingByCompaniesOrBodiesCorporatewhereCentralOrStateGovernmentIsPromoter,pct_ForeignGovernment,num_ForeignGovernment,pct_CentralGovernmentOrStateGovernmentS,num_CentralGovernmentOrStateGovernmentS,pct_ForeignInstitutions,num_ForeignInstitutions,pct_ForeignPortfolioInvestor,num_ForeignPortfolioInvestor,pct_OtherForeignShareholders,num_OtherForeignShareholders,pct_OtherIndianShareholders,num_OtherIndianShareholders,pct_AssociateCompaniesOrSubsidiaries,num_AssociateCompaniesOrSubsidiaries,pct_BodiesCorporateIncludingSubsidiaries,num_BodiesCorporateIncludingSubsidiaries,pct_IndianFinancialInstitutionsOrBanks,num_IndianFinancialInstitutionsOrBanks,natural_pct_sum,natural_num_sum,govt_pct_sum,foreign_non_govt_pct_sum,hufi_num,hufi_pct
CRAFTSMAN AUTOMATION LTD,INE00LO01017,Owner,CRAFTSMAN,Craftsman Automation Limited,48.7,48.7,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.7,7.0,0.0,0.0,5.0,48.7
LAXMI ORGANIC INDUSTRIES LTD,INE576O01020,Owner,LXCHEM,Laxmi Organic Industries Limited,69.35,67.66,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,67.92999999999999,8.0,0.0,0.0,6.0,67.66
ANUPAM RASAYAN INDIA LTD,INE930P01018,Owner,ANURAS,Anupam Rasayan India Limited,59.07,20.93,6.0,0.0,0.0,0.01,1.0,0.03,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.8,1.0,6.34,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.970000000000002,10.0,0.0,31.8,6.0,20.93
INDIGO PAINTS LTD,INE09VQ01012,Owner,INDIGOPNTS,Indigo Paints Limited,53.88,43.48,3.0,0.0,0.0,0.03,2.0,0.02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,43.53,6.0,0.0,0.0,3.0,43.48
GLAND PHARMA LTD,INE068V01023,Owner,GLAND,Gland Pharma Limited,51.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.83,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.83,0.0,0.0
HAPPIEST MINDS TECHNOLOGIES,INE419U01012,Owner,HAPPSTMNDS,Happiest Minds Technologies Limited,44.21,32.42,5.0,0.0,0.0,0.64,6.0,0.03,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.79,1.0,0.0,0.0,0.0,0.0,0.0,0.0,33.09,13.0,0.0,0.0,5.0,32.42
CSB BANK LTD,INE679A01013,Professional,CSBBANK,CSB Bank Limited,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0
RESTAURANT BRANDS ASIA LTD,INE07T201019,Professional,RBA,Restaurant Brands Asia Limited,11.26,0.0,0.0,0.0,0.0,0.0,0.0,0.32,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.26,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,2.0,0.0,11.26,0.0,0.0
SHYAM METALICS & ENERGY LTD,INE810G01011,Owner,SHYAMMETL,Shyam Metalics and Energy Limited,74.59,9.62,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.97,6.0,0.0,0.0,0.0,0.0,0.0,0.0,9.62,9.0,0.0,0.0,9.0,9.62
METROPOLIS HEALTHCARE LTD,INE112L01020,Owner,METROPOLIS,Metropolis Healthcare Limited,48.87,0.35,2.0,0.0,0.0,0.0,0.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.51,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,4.0,0.0,0.0,2.0,0.35
