symbol,company_name,isin,owner_flag,owner_flag_final,owner_flag_final_hybrid,yaml_classification,yaml_matched_detail,judge,in_rev1,rev1_category,rev1_company_name,promoter_total_pct,natural_pct_sum,hufi_pct,dir_pct,kmp_pct,rel_pct,trust_pct,other_indian_pct,other_foreign_pct,foreign_non_govt_pct,govt_pct,ai_review_needed,owner_flag_ai,ai_confidence,ai_reasoning,promoter_names_full_list
ACUTAAS,Acutaas Chemicals Limited,INE00FF01025,owner_confirmed_individual_and_director,OWNER,OWNER,UNKNOWN,,TP,True,Owner,ACUTAAS CHEMICALS LTD,32.66,33.47,32.66,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.01,False,,,,Wide Horizon Ventures LLP|VAGHASIA FAMILY TRUST|TERASPIKE SOLAR ENERGIES LLP|TERASPIKE RENEWABLES ENERGY LLP|TERASPIKE GREEN ENERGY LLP|Rahil Infrastructure LLP|Radha Krishna Textiles|PATEL AND VAGHASIA FAMILY TRUST|Hare Krsihna Impex|Hare Krishna Bath Fittings LLP|Globe Bio Care|GREENSPIKE ENERGY PVT LTD|Carbon Square|Alkoxide Fine Chem Private Limited|ANVVAYA BIOLOGICS PRIVATE LIMITED|SHEETALBEN N PATEL|PARULBEN VAGHASIA|Nairit Chetankumar Vaghasia|Krushang Nareshkumar Vaghasia|Jainul Nareshkumar Vaghasia|ADHYAN VAGHASIA|Zumbeshkumar R Patel|Vipulkumar Fulabhai Rakholiya HUF|Vijaybhai Gordhanbhai Dayani|Vaghasia Chetankumar Chhaganlal|Smita Sanjaykumar Thummer|Shardaben Bhikabhai Gevariya|Sanketkumar R Patel|Sanjaykumar Ramnikbhai Thummer HUF|Ramjibhai Limbabhai Patel|Nitaben Jigneshkumar Patel|Nareshkumar Ramjibhai Patel|Mukeshkumar Chhaganbhai Vaghasia|Minal Vipulbhai Rakholiya|Meenaben Vijaybhai Dayani|Hirenkumar Vijayabhai Dayani|Gevriya Nileshkumar Bhikhubhai|Chhaganlal Vaghasia HUF|Chhagan Ramjibhai Vaghasia|Chetan C Vaghasia HUF|Bhikhabhai R Gevariya|Bhanuben Chhaganbhai Vaghasia|Arunaben Ramjibhai Patel
ADANIENSOL,Adani Energy Solutions Limited,INE931S01010,owner_confirmed_individual_and_director,OWNER,OWNER,OWNER,"OWNER=[Gautambhai(Adani),Rajeshbhai(Adani),Adani(Adani)]",TP,True,Owner,ADANI ENERGY SOLUTIONS LTD,74.71,0.01,0.0,0.01,0.0,0.0,0.0,59.74,14.97,14.97,0.0,False,,,,Shri Gautam S. Adani/Smt.Priti G. Adani (on behalf of Gautam S. Adani Family Trust)|Gautambhai Shantilal Adani and Rajeshbhai Shantilal Adani (on behalf of S.B. Adani Family Trust)|Adani Tradeline Private Limited|Adani Properties Private Limited|Adani Infra (India) Limited|Worldwide Emerging Market Holding Limited|Infinite Trade and Investment Limited|Gelt Bery Trade and Investment Limited|Fortitude Trade and Investment Limited|Flourishing Trade And Investment Limited|Emerging Market Investment DMCC|Ardour Investment Holding Limited|Afro Asia Trade And Investments Limited|Sagar Rajesh Adani|Rajeshbhai  Shantilal  Adani|Pranav Vinod Adani|Karan Gautam Adani|Jeet Gautam Adani|Gautambhai Shantilal Adani
ADANIENT,Adani Enterprises Limited,INE423A01024,owner_confirmed_individual_and_director,OWNER,OWNER,OWNER,"OWNER=[Gautambhai(Adani),Rajeshbhai(Adani),Adani(Adani)]",TP,True,Owner,ADANI ENTERPRISES LTD,74.67,0.02,0.0,0.02,0.0,0.0,0.0,58.99,15.68,15.68,0.0,False,,,,Shri Gautam S. Adani/Smt.Priti G. Adani (on behalf of Gautam S. Adani Family Trust)|Gautambhai Shantilal Adani and Rajeshbhai Shantilal Adani (on behalf of S.B. Adani Family Trust)|Adani Tradeline Private Limited|Adani Properties Private Limited|Adani Infra (India) Limited|Worldwide Emerging Market Holding Limited|Spitze Trade And Investment Limited|Kempas Trade And Investment Ltd|Infinite Trade And Investment Ltd|Hibiscus Trade And Investment Ltd|Gelt Bery Trade And Investment Ltd|Flourishing Trade And Investment Ltd|Emerging Market Investment Dmcc|Ardour Investment Holding Ltd|Afro Asia Trade And Investments Limited|Rajeshbhai Shantilal Adani|Gautambhai Shantilal Adani
ADANIGREEN,Adani Green Energy Limited,INE364U01010,owner_confirmed_individual_and_director,OWNER,OWNER,OWNER,"OWNER=[Gautambhai(Adani),Rajeshbhai(Adani),Adani(Adani)]",TP,True,Owner,ADANI GREEN ENERGY LTD,62.43,0.03,0.01,0.02,0.0,0.0,0.0,49.06,13.37,13.37,0.0,False,,,,Gautambhai Shantilal Adani and Rajeshbhai Shantilal Adani (on behalf of S.B. Adani Family Trust)|Gautambhai Shantilal Adani and Pritiben Gautambhai Adani (on behalf of Gautam S. Adani Family Trust)|Adani Trading Services Llp|Adani Tradeline Private Limited|Adani Tradeline LLP|Adani Properties Private Limited|Worldwide Emerging Market Holding Limited|Spitze Trade And Investment Limited|Infinite Trade And Investment Ltd|Hibiscus Trade And Investment Ltd|Harmonia Trade And Investment Ltd|Gelt Bery Trade And Investment Ltd|Flourishing Trade And Investment Ltd|Ardour Investment Holding Ltd|Afro Asia Trade And Investments Limited|Vanshi Rajesh Adani|Rajeshbhai  Shantilal  Adani|Rahi Rajeshkumar Adani|Gautambhai  Shantilal  Adani
ADANIPORTS,Adani Ports and Special Economic Zone Limited,INE742F01042,owner_confirmed_individual_and_director,OWNER,OWNER,OWNER,"OWNER=[Gautambhai(Adani),Rajeshbhai(Adani),Adani(Adani)]",TP,True,Owner,ADANI PORTS AND SPECIAL ECON,68.02,0.02,0.0,0.02,0.0,0.0,0.0,39.99,28.03,28.03,0.0,False,,,,Rajeshbhai Shantilal Adani & Shilin Rajeshbhai Adani (on behalf of Rajesh S. Adani Family Trust)|Gautambhai Shantilal Adani & Rajeshbhai Shantilal Adani (on behalf of S. B. Adani Family Trust)|Gautambhai Shantilal Adani & Pritiben Gautambhai Adani (on behalf of Gautam S. Adani Family Trust)|Adani Tradeline Private Limited|Adani Rail Infra Private Limited|Adani  Properties  Private  Limited|Worldwide Emerging Market Holding Limited|Spitze Trade And Investment Limited|Resurgent Trade And Investment Ltd|Infinite Trade and Investment Limited|Gelt Bery Trade And Investment Ltd|Flourishing Trade And Investment Ltd|Emerging Market Investment Dmcc|Carmichael Rail And Port Singapore Holdings Pte. Ltd.|Afro Asia Trade And Investments Limited|Rajeshbhai  Shantilal  Adani|Gautambhai  Shantilal  Adani
AETHER,Aether Industries Limited,INE0BWX01014,owner_confirmed_individual_and_director,OWNER,OWNER,UNKNOWN,,TP,True,Owner,AETHER INDUSTRIES LTD,74.95,24.34,24.25,0.0,0.01,0.0,0.0,50.61,0.0,0.0,0.0,False,,,,Zero One Growth LLP|Tripoor Residency|Sunworks Chemicals Private Limited|Sunanda Speciality Coatings Private Limited|Sunanda Global Outreach Foundation|RAD Family Trust (Trustees: Ashwin Jayantilal Desai and Purnima Ashwin Desai)|PAD Family Trust (Trustees: Purnima Ashwin Desai and Ashwin Jayantilal Desai)|J R Dyeing & Printing Mills Private Limited|Aether Foundation|AJD Family Trust (Trustees: Ashwin Jayantilal Desai and Purnima Ashwin Desai)|AAD Family Trust (Trustees: Ashwin Jayantilal Desai and Purnima Ashwin Desai)|AAD Business Trust (Trustees: Ashwin Jayantilal Desai and Purnima Ashwin Desai)|Aman Ashwinbhai Desai|Surendra Keshav Manjrekar|Sourabh Manjrekar|Ruchira Surendra Manjrekar|Rohan Ashwin Desai|Purnima Ashwin Desai|Pramiladevi Kamalvijay Tulsian|Pooja Prayank Agarwal|Payal Rohan Desai|Kavir Manjrekar Desai|Kamalvijay Tulsian (HUF)|Kamalvijay Ramchandra Tulsian|Kaira Rohan Desai|Jayshree Dilip Shah|Ishita Surendra Manjrekar|Gita Robin Faust|Damyanti Harshad Shah|Chandrika Anil Dalal|Ashwin Jayantilal Desai|Anjali Ashok Choksi
AGI,AGI Greenpac Limited,INE415A01038,owner_confirmed_individual_and_director,OWNER,OWNER,UNKNOWN,,TP,True,Owner,AGI GREENPAC LTD,60.24,9.41,9.39,0.0,0.02,0.0,0.0,50.84,0.0,0.0,0.01,False,,,,Stepping Stones Infocom Private Limited|Somany Faucets and Showers Private Limited|SOMANY IMPRESA LIMITED|Metallite Suppliers Private Limited|MATTERHORN TRUST|Hindware Home Innovation Limited|HSIL Associates Limited|Four Corner Properties Private Limited|EBRO Trading Private Limited|AGI Retail Private Limited|AGI Glasspack Limited|Sun Reach Pack (FZE)|Sumita Somany|Shashvat Somany|Sandip Somany HUF|Sandip Somany|Sandhya Agarwal|Nandan Damani|Nalini Somany|Divya Somany
AIAENG,AIA Engineering Limited,INE212H01026,owner_confirmed_individual_and_director,OWNER,OWNER,UNKNOWN,,TP,True,Owner,AIA ENGINEERING LTD,58.5,58.51,58.5,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,Khushali Samip Solanki|Gita Bhadresh Shah|Bhumika Shyamal Shodhan|Bhadresh Kantilal Shah
AJANTPHARM,Ajanta Pharma Limited,INE031B01049,owner_confirmed_individual_and_director,OWNER,OWNER,UNKNOWN,,TP,True,Owner,AJANTA PHARMA LTD,66.25,56.19,56.17,0.0,0.02,0.0,0.0,10.08,0.0,0.0,0.01,False,,,,"Gabs Investments Pvt Ltd|Yogesh M Agrawal, trustee Yogesh Agrawal Trust|Ravi P Agrawal, trustee Ravi Agrawal Trust|Ravi P Agrawal|Rajesh M Agrawal, trustee Rajesh Agrawal Trust|Mannalal B. Agrawal|Ganga Exports being represented by Yogesh Agrawal, Rajesh Agrawal & Ravi Agrawal|Aayush M Agrawal, trustee Aayush Agrawal Trust|Aayush M Agrawal"
ALKEM,Alkem Laboratories Limited,INE540L01014,owner_confirmed_individual_and_director,OWNER,OWNER,UNKNOWN,,TP,True,Owner,ALKEM LABORATORIES LTD,51.2,51.2,51.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,Srinivas Singh # (please refer notes)|Shrey Shree Anant Singh|Seema  Singh|Satish Kumar Singh # (please refer notes)|Sarvesh  Singh # (please refer notes)|Sarandhar Singh * (please refer notes)|Sarandhar Singh  # (please refer notes)|Sandeep Singh# (please refer notes)|Raj Kumar Singh|Premlata  Singh # (please refer notes)|Mritunjay Kumar Singh|Meghna  Singh|Manju  Singh # (please refer notes)|Madhurima  Singh@ (please refer notes)|Madhurima  Singh& (please refer notes)|Jayanti Sinha|Inderjit Kaur Arora # (please refer notes)|Divya  Singh& (please refer notes)|Basudeo Narain Singh|Archana  Singh|Annapurna  Singh # (please refer notes)|Aniruddha Singh& (please refer notes)
AMBER,Amber Enterprises India Limited,INE371P01015,owner_confirmed_individual_and_director,OWNER,OWNER,UNKNOWN,,TP,True,Owner,AMBER ENTERPRISES INDIA LTD,38.19,38.24,38.19,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,SUKHMANI LAKHAT|KARTAR SINGH|JASBIR SINGH|DALJIT SINGH|AMANDEEP KAUR
ANANDRATHI,Anand Rathi Wealth Limited,INE463V01026,owner_confirmed_individual_and_director,OWNER,OWNER,UNKNOWN,,TP,True,Owner,ANAND RATHI WEALTH LTD,43.11,20.52,20.29,0.04,0.02,0.0,0.0,22.65,0.0,0.0,0.0,False,,,,Twelfth Tier Property Limited|Jaipur Securities Private Limited|Aqua Proof Wall Plast Private Limited|Anand Rathi Insurance Brokers Limited|Anand Rathi IT Private Limited|Anand Rathi Financial Services Limited|Amit Capital And Securities Private Limited|Tara Mantri|Pooja Maru|Aishwariya P Gupta|Suresh Rathi HUF|Suresh Rathi|Priti Pradeep Gupta|Pradeep Kumar Gupta HUF|Pradeep Kumar Gupta|Phool Kaur Mundra|Navratan Mal Gupta HUF|Krishnav Pradeep Gupta|Asha Kailash Biyani|Anand Rathi
ANANTRAJ,Anant Raj Limited,INE242C01024,owner_confirmed_individual_and_director,OWNER,OWNER,UNKNOWN,,TP,True,Owner,ANANT RAJ LTD,57.41,52.86,52.86,0.0,0.0,0.0,0.0,4.55,0.0,0.0,0.0,False,,,,SHRI ASHOK SARIN ANANT RAJ LLP|ANEKVARNA ESTATE LLP|ROMA SARIN|RAJKUMARI (HUF)|RAGHUNATH RAI GANDHI|ASHOK SARIN (HUF)|ASHIM SARIN|ARVINDA GANDHI|ANISH SARIN JOINTLY WITH RADHIKA SARIN|AMIT SARIN|AMAN SARIN|AASHMAN SARIN
