symbol,company_name,isin,owner_flag,owner_flag_final,owner_flag_final_hybrid,yaml_classification,yaml_matched_detail,judge,in_rev1,rev1_category,rev1_company_name,promoter_total_pct,natural_pct_sum,hufi_pct,dir_pct,kmp_pct,rel_pct,trust_pct,other_indian_pct,other_foreign_pct,foreign_non_govt_pct,govt_pct,ai_review_needed,owner_flag_ai,ai_confidence,ai_reasoning,promoter_names_full_list
INFY,Infosys Limited,INE009A01021,owner_confirmed_individual_and_director,OWNER,OWNER,UNKNOWN,,FP,True,Professional,INFOSYS LTD,14.52,14.58,14.52,0.04,0.01,0.01,0.0,0.0,0.0,0.0,0.02,False,,,,TANUSH NILEKANI CHANDRA|SUDHA N MURTY|SUDHA GOPALAKRISHNAN|SHRUTI SHIBULAL|SHREYAS SHIBULAL|SHRAY  CHANDRA|S GOPALAKRISHNAN|S D SHIBULAL|ROHINI NILEKANI|ROHAN MURTY|NIKITA SHIBULAL MANCHANDA|NIHAR NILEKANI|NARAYANA MURTHY|NANDAN M NILEKANI|MILAN SHIBULAL MANCHANDA|MEGHANA GOPALAKRISHNAN|KUMARI SHIBULAL|JANHAVI NILEKANI|GAURAV MANCHANDA|EKAGRAH ROHAN MURTY|DIVYA DINESH|DINESH KRISHNASWAMY|DEEKSHA DINESH|BHAIRAVI MADHUSUDHAN SHIBULAL|ASHA DINESH|AKSHATA MURTY
STARHEALTH,Star Health and Allied Insurance Company Limited,INE575P01011,owner_confirmed_individual_and_director,OWNER,OWNER,UNKNOWN,,FP,True,Professional,STAR HEALTH & ALLIED INSURAN,57.98,17.49,17.12,0.24,0.13,0.0,0.0,40.86,0.0,0.0,0.0,False,,,,"ZENEX ANIMAL HEALTH INDIA PRIVATE LIMITED|ZEN SUPER STRUCTURE LLP|YASHREY|WING WORLD GROUND SERVICES PVT LTD|WESTBRIDGE AIF MASTER FUND, LLC|WESTBRIDGE AIF I|WEALTH INDIA FINANCIAL SERVICES PRIVATE LIMITED|WAY2NEWS PRIVATE LIMITED|THE WOODENSTREET FURNITURES PRIVATE LIMITED|SYSKA LED LIGHTS PRIVATE LIMITED|SYSKA E RETAILS LLP|SYNERGY DRILLING FLUIDS PRIVATE LIMITED|SUNSTONE EDUCATION TECHNOLOGY PRIVATE LIMITED|SUDHA CHILDREN TRUST|SNV AVIATION PRIVATE LIMITED|SNEHAL PACKAGING LIMITED|SIMPLY VYAPAR APPS PRIVATE LIMITED’|SHREE SANT KRIPA INTELLECTUAL|SHREE RATNASAGAR DEVELOPERS|SHRADDHA COMMUNICATION PRIVATE LIMITED|SETU AIF TRUST|SANDEEP SINGHAL|SAIDALE DEVELOPMENT CORPORATION LLP|SAFECROP INVESTMENTS INDIA LLP|RUIA BUILDERS & DEVELOPERS|RUIA AGRO FARMS|ROPPEN TRANSPORTATION SERVICES PRIVATE LIMITED|RESITEX|RENU RUIA TRUST|RATNASAGAR DEVELOPERS LLP|RARE SHARES & STOCK PRIVATE LIMITED|RARE INVESTMENTS|RARE FAMILY FOUNDATION|RARE EQUITY PRIVATE LIMITED|RARE ENTERPRISES|PROPERTY SHARE ONLINE PLATFORM PRIVATE LIMITED|PEGASUS GROUP THIRTY NINE TRUST 2|PEGASUS GROUP THIRTY NINE TRUST 1|PEGASUS GROUP ONE TRUST 41|PEGASUS GROUP NINE TRUST 3|PEGASUS GROUP NINE TRUST 2|PEGASUS GROUP FORTY ONE TRUST 1|PEGASUS GROUP ELEVEN UNICORP TRUST I|PEGASUS ASSETS RECONSTRUCTION PRIVATE LIMITED|PEGASUS 2024 TRUST 2|PEGASUS 2024 TRUST 1|PEGASUS 2023 TRUST 9|PEGASUS 2023 TRUST 3|PEGASUS 2023 TRUST 2|PARVATI REALTORS LLP|PARK DEVELOPERS|ONEX SYSTEMS PRIVATE LIMITED|ONE BY THREE FILM PRODUCTION LLP|OHM EDUCOM FOUNDATION PRIVATE LIMITED|NOOPUR FAMILY TRUST|NITYAS WELFARE TRUST|NISHTHA JHUNJHUNWALA NEW INCOME TRUST|NISHTHA JHUNJHUNWALA DISCRETIONARY TRUST|NEUMEC DEVELOPER & BUILDERS|MOUNTAIN MANAGERS PRIVATE LIMITED|MINOSHA PRINT SOLUTIONS PVT LTD|MINOSHA INDIA LIMITED|METIS EDUVENTURES PRIVATE LIMITED|MEL TRAINING & ASSESSMENTS LIMITED|MANVEER ASSOCIATES LLP|MAANYA ENTERPRISES|LES CONCIERGES SERVICES PRIVATE LIMITED|LEADERSHIP BOULEVARD PRIVATE LIMITED|KUHOO TECHNOLOGY SERVICES PRIVATE LIMITED|KPN FARM FRESH PRIVATE LIMITED|KINNTEISTO LLP|KEKA TECHNOLOGIES PRIVATE LIMITED|JOHN ENERGY LIMITED|JOHN ENERGY INTERNATIONAL DMCC|JOHN DRILLING SERVICES PRIVATE LIMITED|JHUNJHUNWALA FAMILY TRUST|JCB SALONS PRIVATE LIMITED|JALARAM BABA CHILDREN’S NEST EDUCATION PRIVATE LIMITED.|J&J BUILDCON PRIVATE LIMITED|INVENTURUS KNOWLEDGE SOLUTIONS LIMITED|INVENTURUS KNOWLEDGE SOLUTIONS INC|INTERICS|INTELLIHEALTH SOLUTIONS PRIVATE LIMITED|INSYNC CAPITAL PARTNERS LLP|INDUSTRIAL GLASS FIBER INDUSTRIES|INAYAS WELFARE TRUST|IKS CARES FOUNDATION|IDC ELECTRONICS LIMITED|HOPE FILM MAKERS PRIVATE LIMITED|HOPE ENTERTAINMENT LLP|HEISETASSE BEVERAGES PRIVATE LIMITED|HARMONYBRIGHT EDUCATION LLP|GUTZ FEEL FILM PRODUCTION LLP|GS E-COMMERCE PRIVATE LIMITED|GOLDCREST ADVISORS LLP|FRIN BEAUTY PRIVATE LIMITED|EXPEDIENT HEALTHCARE MARKETING PRIVATE LIMITED|ENRICH HAIR AND SKIN SOLUTIONS PRIVATE LIMITED|EBONO PRIVATE LIMITED|EBO MART PRIVATE LIMITED|E-PHORIA TECHNOLOGIES PRIVATE LIMITED|CYLLID TECHNOLOGIES PRIVATE LIMITED|CONCORD BIOTECH LIMITED|CONCORD BIOTECH JAPAN K.K.|CAPRIS ADVISORS LLP|BOMBAY GOODS FREIGHT CARRIAGES|BLUEBEAR TECHNOLOGY PRIVATE LIMITED|BHUMI REALTY VENTURES LLP|BGFC LOGISTIC LLP|ASSOCIATE ENTERPRISE|ARYAVIR JHUNJHUNWALA NEW INCOME TRUST|ARYAVIR JHUNJHUNWALA DISCRETIONARY TRUST|ARYAMAN JHUNJHUNWALA NEW INCOME TRUST|ARYAMAN JHUNJHUNWALA DISCRETIONARY TRUST|ARTI FAMILY TRUST|ARAYAS WELFARE TRUST|APTECH VENTURES LIMITED , MAURITIUS|APTECH TRAINING LTD. FZE|APTECH LIMITED|APTECH INVESTMENTS|ANALOG LEGALHUB TECHNOLOGY SOLUTIONS PRIVATE LIMITED|ALCHEMY INVESTMENT ADVISORY SERVICES PRIVATE LIMITED|ALCHEMY CAPITAL MANAGEMENT PRIVATE LIMITED|AGLSM SDN BHD|ABC ENTERPRISES|SUNIL SEKSARIA HUF|SUDHA GUPTA|SMT. SUSHILADEVI GUPTA|RENU SHARAD RUIA|REKHA JHUNJHUNWALA|MRS. ROOPAL GUPTA|MRS. MADHU SEKSARIA|MR RAJESHKUMAR JHUNJHUNWALA|MR RAJEEV P GUPTA|MISS NISHTHA R. JHUNJHUNWALA|MASTER ARYAVIR JHUNJHUNWALA|MASTER ARYAMAAN JHUNJHUNWALA|LATE JHUNJHUNWALA RAKESH RADHESHYAM"
FINOPB,Fino Payments Bank Limited,INE02NC01014,owner_confirmed_individual_and_director,OWNER,NOT_OWNER,STATE,STATE=[BHARAT PETROLEUM CORPORATION(GOI 系)],TN,True,Professional,FINO PAYMENTS BANK LTD,75.0,0.02,0.0,0.01,0.01,0.0,0.0,75.0,0.0,0.0,0.0,False,,,,Fino Trusteeship Services Limited|Fino Financial Services Private Limited|FINO PAYTECH LIMITED|FFPL Finserv Private Limited|Bharat Petroleum Corporation Limited|VIPRRAJ BHARDWAJ|SHAILESH B PANDEY|RISHI  GUPTA|RAJEEV ARORA|ASHISH  AHUJA|AMIT KUMAR  JAIN
AARTIDRUGS,Aarti Drugs Limited,INE767A01016,owner_confirmed_individual_and_director,OWNER,OWNER,UNKNOWN,,TP,True,Owner,AARTI DRUGS LTD,55.03,47.56,41.78,5.43,0.0,0.35,0.07,13.25,0.0,0.0,0.0,False,,,,Tulip Family Trust (Gloire Trusteeship Services Private Limited)|Safechem Enterprises Private Limited|Paridhi Business Trust (Saswat Trusteeship Private Limited)|Orchid Family Trust (Relacion Trusteeship Services Private Limited)|Gogri Finserv Pvt. Ltd.|Dilesh Roadlines Pvt Ltd|Anushakti Enterprise Private Limited|Alchemie Finserv Pvt. Ltd.|Alchemie Financial Services Limited|Aashyav Business Trust (Alabhya Trusteeship Private Limited)|Aarti Life Science LLP|Aarti Industries Limited|Vishwa Harshit Savla|Vikas Moreshwar Patil|Uday Moreshwar Patil|Seema Harshit Savla|Renil Rajendra Gogri|Rashesh Chandrakant Gogri|Rajendra Vallabhaji Gogri|Priti Prakash Patil|Prakash Moreshwar Patil|Prakash M. Patil (HUF) (Karta - Prakash Moreshwar Patil)|Mirik Rajendra Gogri|Manisha Rashesh Gogri|Kenisha Savla|Kalika Amit Mishra|Jigna Hiren Shah|Jaya Chandrakant Gogri|Jay Manilal Savla|Indira Madan Dedhia|Hriman Savla|Hetal Gogri Gala|Harshit Manilal Savla|Harshit M. Savla (HUF) (Karta - Harshit Manilal Savla)|Chandrakant Vallabhaji Gogri|Bhoomi Harshit Savla|Arun Moreshwar Patil|Arti Rajendra Gogri|Arati Tushar Sankhe|Adhish P. Patil|Aashay Rashesh Gogri|Aarnav Rashesh Gogri|Jayshree Harit Shah|Harit Pragji Shah
AARTIIND,Aarti Industries Limited,INE769A01020,owner_confirmed_individual_and_director,OWNER,OWNER,UNKNOWN,,TP,True,Owner,AARTI INDUSTRIES LIMITED,42.14,27.9,26.75,0.98,0.0,0.0,0.0,15.22,0.0,0.0,0.01,False,,,,"Valiant Organics Limited|TULIP FAMILY TRUST 
(Gloire Trusteeship Services Private Limited)|Safechem Enterprises Private Limited|ORCHID FAMILY TRUST 
(Relacion Trusteeship Services Private Limited)|Nikhil Holdings Private Limited|MANOMAYA BUSINESS TRUST 
(Alabhya Trusteeship Private Limited)|LOTUS FAMILY TRUST 
(Gloire Trusteeship Services Private Limited)|LABDHI BUSINESS TRUST 
(Saswat Trusteeship Private Limited)|JASMINE FAMILY TRUST 
(Relacion Trusteeship Services Private Limited)|Heena Family Private Trust 
(Barclays Wealth Trustees India Private Limited)|Gogri Finserv Pvt. Ltd.|Dilesh Roadlines Pvt Ltd|Bhavna Family Private Trust 
(Barclays Wealth Trustees India Pvt Ltd)|Anushakti Enterprise Private Limited|Alchemie Finserv Pvt. Ltd.|Alchemie Financial Services Limited|Bhanu Pradip Savla|Tarla Parimal Desai|Shreya Suneja|Shantilal Tejshi Shah HUF|Sarla Shantilal Shah|Renil Rajendra Gogri|Ratanben Premji Gogri|Rashesh Chandrakant Gogri|Rajendra Vallabhaji Gogri (HUF)|Rajendra Vallabhaji Gogri|Prasadi Yogesh Banatwala|Pooja Renil Gogri|Parimal Hasmukhlal Desai|Nikhil Parimal Desai|Nehal Garewal|Monisha Bhatia|Mirik Rajendra Gogri|Manisha Rashesh Gogri|Mananjay Singh Garewal|Jayesh Shah|Jaya Chandrakant Gogri|Indira Madan Dedhia|Hetal Gogri Gala|Heena Bhatia|Gunavanti Navin Shah|Chandrakant Vallabhaji Gogri|Bhavna Shah Lalka|Arti Rajendra Gogri|Aashay Rashesh Gogri|Aarnav Rashesh Gogri"
ABCAPITAL,Aditya Birla Capital Limited,INE674K01013,owner_confirmed_individual_and_director,OWNER,OWNER,OWNER,"OWNER=[KUMAR MANGALAM BIRLA(Birla),Birla Group Holdings(Birla),Bajaj(Bajaj)]",TP,True,Owner,ADITYA BIRLA CAPITAL LTD,68.51,0.18,0.13,0.03,0.02,0.0,0.0,65.66,2.72,2.72,0.0,False,,,,VIKRAM HOLDINGS PVT LTD|VAIBHAV HOLDINGS PRIVATE LIMITED|RENUKA INVESTMENTS AND FINANCE LIMITED|RAJRATNA HOLDINGS PRIVATE LIMITED|PILANI INVESTMENT AND INDUSTRIES|IGH HOLDINGS PRIVATE LIMITED|HINDALCO INDUSTRIES LIMITED|GRASIM INDUSTRIES LIMITED|ESSEL MINING & INDUSTRIES LTD|ECE INDUSTRIES LTD.|BIRLA INSTITUTE OF TECHNOLOGY AND SCIENCE|BIRLA INDUSTRIAL INVESTMENTS INDIA LIMITED|BIRLA INDUSTRIAL FINANCE  INDIA LIMITED|BIRLA GROUP HOLDINGS PRIVATE LIMITED|BIRLA CONSULTANTS LIMITED|Thai Rayon Public Company Limited|Surya Kiran Investments Pte Limited|P.T. Indo Bharat Rayon|P T elegant Textile Industry|P T Sunrise Bumi Textiles|VASAVADATTA BAJAJ|RAJASHREE BIRLA|NEERJA BIRLA|KUMAR MANGALAM BIRLA|ADITYA VIKRAM KUMARMANGALAM BIRLA HUF . (KARTA - KUMAR MANGALAM BIRLA)
ABFRL,Aditya Birla Fashion and Retail Limited,INE647O01011,owner_confirmed_individual_and_director,OWNER,OWNER,OWNER,"OWNER=[KUMAR MANGALAM BIRLA(Birla),Birla Group Holdings(Birla),Bajaj(Bajaj)]",TP,True,Owner,ADITYA BIRLA FASHION AND RET,46.61,0.26,0.21,0.04,0.01,0.0,0.0,46.4,0.0,0.0,0.0,False,,,,Pilani Investment And Industries|Igh Holdings Private Limited|Hindalco Industries Limited|Grasim Industries Ltd|ECE Industries Limited|Birla Industrial Investments India Limited|Birla Industrial Finance  India Limited|Birla Group Holdings Private Limited|Birla Consultants Limited|Abnl Investment Limited|Vasavadatta Bajaj|Rajashree Birla|Neerja Birla|Kumar Mangalam Birla|Aryaman Vikram Birla|Aditya Vikram Kumarmangalam Birla Huf .
ABSLAMC,Aditya Birla Sun Life AMC Limited,INE404A01024,owner_confirmed_individual_and_director,OWNER,OWNER,OWNER,"OWNER=[Aditya Birla(Birla),KUMAR MANGALAM BIRLA(Birla)]",TP,True,Owner,ADITYA BIRLA SUN LIFE AMC LT,74.82,0.01,0.0,0.01,0.0,0.0,0.0,44.89,29.93,29.93,0.03,False,,,,ADITYA BIRLA CAPITAL LIMITED|SUN LIFE (INDIA) AMC INVESTMENTS INC|NEERJA BIRLA|KUMAR MANGALAM BIRLA
ACE,Action Construction Equipment Limited,INE731H01025,owner_confirmed_individual_and_director,OWNER,OWNER,UNKNOWN,,TP,True,Owner,ACTION CONSTRUCTION EQUIPMEN,65.42,65.44,65.42,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,False,,,,VIJAY AGARWAL|SURBHI GARG|SORAB AGARWAL|MONA AGARWAL|ANURADHA GARG
ACI,Archean Chemical Industries Limited,INE128X01021,owner_confirmed_individual_and_director,OWNER,OWNER,UNKNOWN,,TP,True,Owner,ARCHEAN CHEMICAL INDUSTRIES,53.43,23.01,22.9,0.11,0.0,0.0,0.0,30.53,0.0,0.0,0.0,False,,,,Chemikas Speciality Llp|Ravi P|Ranjit P
