symbol,company_name,isin,series,listing_date,face_value,industry,sector,basic_industry,macro,is_fno,last_price,previous_close,year_high,year_low,ffmc,pct_change_30d,pct_change_365d,fetched_at
TGL,,,EQ,,,ST,,,,,32.05,30.55,399.4,26.2,,,,2026-04-14T01:22:41.013948+00:00
CEDAAR,,,EQ,,,SM,,,,,26.75,25.5,136.3,18.85,,,,2026-04-14T01:22:41.013948+00:00
ACCORD,,,EQ,,,SM,,,,,36.45,34.75,36.45,18.3,,,,2026-04-14T01:22:41.013948+00:00
PRESSTONIC,,,EQ,,,ST,,,,,34.3,32.7,121.19,28.2,,,,2026-04-14T01:22:41.013948+00:00
SHRIKANHA,,,EQ,,,SM,,,,,21.45,20.45,88.0,15.1,,,,2026-04-14T01:22:41.013948+00:00
KONSTELEC,,,EQ,,,SM,,,,,38.7,36.9,89.95,28.0,,,,2026-04-14T01:22:41.013948+00:00
AUSL,,,EQ,,,SM,,,,,20.45,19.5,48.3,17.35,,,,2026-04-14T01:22:41.013948+00:00
GML,,,EQ,,,ST,,,,,20.45,19.5,54.0,15.15,,,,2026-04-14T01:22:41.013948+00:00
NAMOEWASTE,,,EQ,,,SM,,,,,167.0,159.25,229.9,127.0,,,,2026-04-14T01:22:41.013948+00:00
DIVYADHAN,,,EQ,,,SM,,,,,28.15,26.85,62.4,18.25,,,,2026-04-14T01:22:41.013948+00:00
MOS,,,EQ,,,SM,,,,,14.1,13.45,30.1,9.05,,,,2026-04-14T01:22:41.013948+00:00
NEWJAISA,,,EQ,,,SM,,,,,24.95,23.8,52.2,15.15,,,,2026-04-14T01:22:41.013948+00:00
JAINIK,,,EQ,,,SM,,,,,129.5,123.55,153.1,60.6,,,,2026-04-14T01:22:41.013948+00:00
MIEL,,,EQ,,,SM,,,,,13.05,12.45,35.0,10.7,,,,2026-04-14T01:22:41.013948+00:00
AAKAAR,,,EQ,,,ST,,,,,59.9,57.15,105.0,46.0,,,,2026-04-14T01:22:41.013948+00:00
HOLMARC,,,EQ,,,SM,,,,,84.2,80.35,176.95,60.05,,,,2026-04-14T01:22:41.013948+00:00
VGINFOTECH,,,EQ,,,SM,,,,,150.95,144.05,208.0,99.5,,,,2026-04-14T01:22:41.013948+00:00
CONTI,,,EQ,,,SM,,,,,14.25,13.6,31.95,12.4,,,,2026-04-14T01:22:41.013948+00:00
AMBANIORGO,,,EQ,,,ST,,,,,135.15,129.0,143.65,94.9,,,,2026-04-14T01:22:41.013948+00:00
SPUNWEB,,,EQ,,,SM,,,,,114.2,109.0,173.55,80.0,,,,2026-04-14T01:22:41.013948+00:00
TRIDHYA,,,EQ,,,SM,,,,,8.8,8.4,26.5,6.3,,,,2026-04-14T01:22:41.013948+00:00
COOLCAPS,,,EQ,,,SM,,,,,31.95,30.5,99.5,22.3,,,,2026-04-14T01:22:41.013948+00:00
MPTODAY,,,EQ,,,SM,,,,,46.75,44.65,56.8,26.3,,,,2026-04-14T01:22:41.013948+00:00
ANLON,,,EQ,,,SM,,,,,403.0,385.0,497.0,308.0,,,,2026-04-14T01:22:41.013948+00:00
