index_name,symbol,priority,fetched_at
NIFTY 100,ONGC,,2026-04-14T01:22:41.013948+00:00
NIFTY 100,BEL,,2026-04-14T01:22:41.013948+00:00
NIFTY 100,ADANIGREEN,,2026-04-14T01:22:41.013948+00:00
NIFTY 100,MAZDOCK,,2026-04-14T01:22:41.013948+00:00
NIFTY 100,SUNPHARMA,,2026-04-14T01:22:41.013948+00:00
NIFTY 100,TMCV,,2026-04-14T01:22:41.013948+00:00
NIFTY 100,NTPC,,2026-04-14T01:22:41.013948+00:00
NIFTY 100,ADANIPORTS,,2026-04-14T01:22:41.013948+00:00
NIFTY 100,TATASTEEL,,2026-04-14T01:22:41.013948+00:00
NIFTY 100,CHOLAFIN,,2026-04-14T01:22:41.013948+00:00
NIFTY 100,MOTHERSON,,2026-04-14T01:22:41.013948+00:00
NIFTY 100,ITC,,2026-04-14T01:22:41.013948+00:00
NIFTY 100,ADANIENSOL,,2026-04-14T01:22:41.013948+00:00
NIFTY 100,POWERGRID,,2026-04-14T01:22:41.013948+00:00
NIFTY 100,HINDALCO,,2026-04-14T01:22:41.013948+00:00
NIFTY 100,TMPV,,2026-04-14T01:22:41.013948+00:00
NIFTY 100,HAL,,2026-04-14T01:22:41.013948+00:00
NIFTY 100,WIPRO,,2026-04-14T01:22:41.013948+00:00
NIFTY 100,CUMMINSIND,,2026-04-14T01:22:41.013948+00:00
NIFTY 100,HINDUNILVR,,2026-04-14T01:22:41.013948+00:00
NIFTY 100,ASIANPAINT,,2026-04-14T01:22:41.013948+00:00
NIFTY 100,BPCL,,2026-04-14T01:22:41.013948+00:00
NIFTY 100,DMART,,2026-04-14T01:22:41.013948+00:00
NIFTY 100,PFC,,2026-04-14T01:22:41.013948+00:00
NIFTY 100,TITAN,,2026-04-14T01:22:41.013948+00:00
NIFTY 100,JIOFIN,,2026-04-14T01:22:41.013948+00:00
NIFTY 100,BAJAJ-AUTO,,2026-04-14T01:22:41.013948+00:00
NIFTY 100,SOLARINDS,,2026-04-14T01:22:41.013948+00:00
NIFTY 100,HDFCLIFE,,2026-04-14T01:22:41.013948+00:00
NIFTY 100,UNIONBANK,,2026-04-14T01:22:41.013948+00:00
NIFTY 100,GRASIM,,2026-04-14T01:22:41.013948+00:00
NIFTY 100,BANKBARODA,,2026-04-14T01:22:41.013948+00:00
NIFTY 100,HCLTECH,,2026-04-14T01:22:41.013948+00:00
NIFTY 100,IOC,,2026-04-14T01:22:41.013948+00:00
NIFTY 100,TORNTPHARM,,2026-04-14T01:22:41.013948+00:00
NIFTY 100,CANBK,,2026-04-14T01:22:41.013948+00:00
NIFTY 100,HDFCAMC,,2026-04-14T01:22:41.013948+00:00
NIFTY 100,ULTRACEMCO,,2026-04-14T01:22:41.013948+00:00
NIFTY 100,GAIL,,2026-04-14T01:22:41.013948+00:00
NIFTY 100,DLF,,2026-04-14T01:22:41.013948+00:00
NIFTY 100,TVSMOTOR,,2026-04-14T01:22:41.013948+00:00
NIFTY 100,APOLLOHOSP,,2026-04-14T01:22:41.013948+00:00
NIFTY 100,VBL,,2026-04-14T01:22:41.013948+00:00
NIFTY 100,MAXHEALTH,,2026-04-14T01:22:41.013948+00:00
NIFTY 100,BAJAJFINSV,,2026-04-14T01:22:41.013948+00:00
NIFTY 100,ABB,,2026-04-14T01:22:41.013948+00:00
NIFTY 100,BOSCHLTD,,2026-04-14T01:22:41.013948+00:00
NIFTY 100,LODHA,,2026-04-14T01:22:41.013948+00:00
NIFTY 100,PNB,,2026-04-14T01:22:41.013948+00:00
NIFTY 100,CIPLA,,2026-04-14T01:22:41.013948+00:00
NIFTY 100,BRITANNIA,,2026-04-14T01:22:41.013948+00:00
NIFTY 100,RECLTD,,2026-04-14T01:22:41.013948+00:00
NIFTY 100,MUTHOOTFIN,,2026-04-14T01:22:41.013948+00:00
NIFTY 100,TECHM,,2026-04-14T01:22:41.013948+00:00
NIFTY 100,TATACONSUM,,2026-04-14T01:22:41.013948+00:00
NIFTY 100,DRREDDY,,2026-04-14T01:22:41.013948+00:00
NIFTY 100,UNITDSPR,,2026-04-14T01:22:41.013948+00:00
NIFTY 100,NESTLEIND,,2026-04-14T01:22:41.013948+00:00
NIFTY 100,TRENT,,2026-04-14T01:22:41.013948+00:00
NIFTY 100,HYUNDAI,,2026-04-14T01:22:41.013948+00:00
NIFTY 100,IRFC,,2026-04-14T01:22:41.013948+00:00
NIFTY 100,HINDZINC,,2026-04-14T01:22:41.013948+00:00
NIFTY 100,CGPOWER,,2026-04-14T01:22:41.013948+00:00
NIFTY 100,INDHOTEL,,2026-04-14T01:22:41.013948+00:00
NIFTY 100,JINDALSTEL,,2026-04-14T01:22:41.013948+00:00
NIFTY 100,DIVISLAB,,2026-04-14T01:22:41.013948+00:00
NIFTY 100,JSWSTEEL,,2026-04-14T01:22:41.013948+00:00
NIFTY 100,SBILIFE,,2026-04-14T01:22:41.013948+00:00
NIFTY 100,GODREJCP,,2026-04-14T01:22:41.013948+00:00
NIFTY 100,SIEMENS,,2026-04-14T01:22:41.013948+00:00
NIFTY 100,AMBUJACEM,,2026-04-14T01:22:41.013948+00:00
NIFTY 100,PIDILITIND,,2026-04-14T01:22:41.013948+00:00
NIFTY 100,ENRIN,,2026-04-14T01:22:41.013948+00:00
NIFTY 100,LTM,,2026-04-14T01:22:41.013948+00:00
NIFTY 100,SHREECEM,,2026-04-14T01:22:41.013948+00:00
NIFTY 100,ZYDUSLIFE,,2026-04-14T01:22:41.013948+00:00
NIFTY 100,BAJAJHLDNG,,2026-04-14T01:22:41.013948+00:00
NIFTY 100,TATACAP,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,ICICIBANK,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,RELIANCE,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,HDFCBANK,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,BHARTIARTL,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,BSE,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,LT,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,SBIN,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,MARUTI,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,ADANIPOWER,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,INFY,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,MCX,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,BHEL,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,AXISBANK,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,KOTAKBANK,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,WAAREEENER,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,ETERNAL,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,M&M,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,BAJFINANCE,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,TATAINVEST,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,VEDL,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,TCS,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,EICHERMOT,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,GROWW,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,TATAPOWER,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,SHRIRAMFIN,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,COALINDIA,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,ADANIENT,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,INDIGO,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,ONGC,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,BEL,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,ADANIGREEN,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,MAZDOCK,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,SUNPHARMA,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,POWERINDIA,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,TMCV,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,SUZLON,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,DIXON,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,NTPC,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,NATIONALUM,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,ADANIPORTS,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,TATASTEEL,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,CHOLAFIN,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,MOTHERSON,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,ITC,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,SAIL,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,ADANIENSOL,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,POWERGRID,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,HINDALCO,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,TMPV,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,HAL,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,WIPRO,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,CUMMINSIND,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,HINDUNILVR,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,IDEA,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,JSWENERGY,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,ASIANPAINT,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,HEROMOTOCO,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,BPCL,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,DMART,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,PFC,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,TITAN,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,VOLTAS,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,ASHOKLEY,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,POLYCAB,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,JIOFIN,,2026-04-14T01:22:41.013948+00:00
NIFTY 200,APLAPOLLO,,2026-04-14T01:22:41.013948+00:00
