symbol,isin,company_name,is_owner_company,owner_family,owner_flag,owner_flag_final_hybrid,yaml_classification,promoter_total_pct,natural_pct_sum,in_rev1,rev1_category,is_nifty50,is_nifty100,is_nifty200,is_nifty500,is_nifty_total_mkt,nse_fetch_status
WIPRO,INE075A01022,Wipro Limited,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,72.63,4.42,True,Owner,True,True,True,True,True,ok
WOCKPHARMA,INE049B01025,Wockhardt Limited,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,49.08,0.74,True,Owner,False,False,False,True,True,ok
WSTCSTPAPR,INE976A01021,West Coast Paper Mills Limited,True,,owner_confirmed_individual,OWNER,UNKNOWN,56.58,13.46,True,Owner,False,False,False,False,False,ok
YATHARTH,INE0JO301016,Yatharth Hospital & Trauma Care Services Limited,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,55.8,55.8,False,,False,False,False,False,True,ok
ZAGGLE,INE07K301024,Zaggle Prepaid Ocean Services Limited,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,44.13,40.06,False,,False,False,False,False,True,ok
ZEEL,INE256A01028,,True,,owner_probable_relatives_trust,OWNER,UNKNOWN,3.99,0.49,True,Owner,False,False,False,True,True,ok
ZENSARTECH,INE520A01027,Zensar Technologies Limited,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,49.01,0.23,True,Owner,False,False,False,True,True,ok
ZENTEC,INE251B01027,Zen Technologies Limited,True,,owner_confirmed_individual,OWNER,UNKNOWN,48.51,48.51,True,Owner,False,False,False,True,True,ok
ZYDUSLIFE,INE010B01027,Zydus Lifesciences Limited,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,75.0,0.07,True,Owner,False,True,True,True,True,ok
ZYDUSWELL,INE768C01028,Zydus Wellness Limited,True,,owner_confirmed_individual_and_director,OWNER,UNKNOWN,69.63,0.06,False,,False,False,False,True,True,ok
,INE041025011,EMBASSY OFFICE PARKS REIT,True,,rev1_label_only_owner,OWNER,UNKNOWN,0.0,0.0,True,Owner,False,False,False,False,False,unresolvable_isin
,INE0CCU25019,MINDSPACE BUSINESS PARKS REI,True,,rev1_label_only_owner,OWNER,UNKNOWN,0.0,0.0,True,Owner,False,False,False,False,False,unresolvable_isin
,INE140A01024,PIRAMAL ENTERPRISES LTD,True,,rev1_label_only_owner,OWNER,UNKNOWN,0.0,0.0,True,Owner,False,False,False,False,False,unresolvable_isin
,INE274G01010,DHANI SERVICES LTD,True,,rev1_label_only_owner,OWNER,UNKNOWN,0.0,0.0,True,Owner,False,False,False,False,False,unresolvable_isin
,INE455F01025,JAIPRAKASH ASSOCIATES LTD,True,,rev1_label_only_owner,OWNER,UNKNOWN,0.0,0.0,True,Owner,False,False,False,False,False,unresolvable_isin
,INE752P01024,FUTURE RETAIL LTD,True,,rev1_label_only_owner,OWNER,UNKNOWN,0.0,0.0,True,Owner,False,False,False,False,False,unresolvable_isin
,INE778U01029,TCNS CLOTHING CO LTD,True,,rev1_label_only_owner,OWNER,UNKNOWN,0.0,0.0,True,Owner,False,False,False,False,False,unresolvable_isin
,INE886H01027,TV18 BROADCAST LTD,True,,rev1_label_only_owner,OWNER,UNKNOWN,0.0,0.0,True,Owner,False,False,False,False,False,unresolvable_isin
ADANIENSOL,INE931S01010,Adani Energy Solutions Limited,True,Adani,owner_confirmed_individual_and_director,OWNER,OWNER,72.73,0.01,True,Owner,False,True,True,True,True,ok
ADANIENT,INE423A01024,Adani Enterprises Limited,True,Adani,owner_confirmed_individual_and_director,OWNER,OWNER,74.67,0.02,True,Owner,True,True,True,True,True,ok
ADANIGREEN,INE364U01010,Adani Green Energy Limited,True,Adani,owner_confirmed_individual_and_director,OWNER,OWNER,62.43,0.03,True,Owner,False,True,True,True,True,ok
ADANIPORTS,INE742F01042,Adani Ports and Special Economic Zone Limited,True,Adani,owner_confirmed_individual_and_director,OWNER,OWNER,68.02,0.02,True,Owner,True,True,True,True,True,ok
ADANIPOWER,INE814H01029,Adani Power Limited,True,Adani,owner_confirmed_individual,OWNER,OWNER,74.96,0.0,True,Owner,False,True,True,True,True,ok
AMBUJACEM,INE079A01024,Ambuja Cements Limited,True,Adani,ambiguous_holding_foreign,OWNER,OWNER,67.68,0.0,True,Owner,False,True,True,True,True,ok
ATGL,INE399L01023,Adani Total Gas Limited,True,Adani,owner_confirmed_individual_and_director,OWNER,OWNER,74.8,0.06,True,Owner,False,False,True,True,True,ok
WELCORP,INE191B01025,Welspun Corp Limited,True,Adani,owner_confirmed_individual_and_director,OWNER,OWNER,49.73,0.6,True,Owner,False,False,False,True,True,ok
WELENT,INE625G01013,Welspun Enterprises Limited,True,Adani,owner_confirmed_individual_and_director,OWNER,OWNER,56.13,1.98,False,,False,False,False,False,True,ok
WELSPUNLIV,INE192B01031,Welspun Living Limited,True,Adani,owner_confirmed_individual,OWNER,OWNER,66.24,0.36,True,Owner,False,False,False,True,True,ok
ALOKINDS,INE270A01029,Alok Industries Limited,True,Ambani,ambiguous_holding_indian,OWNER,OWNER,75.0,0.0,True,Owner,False,False,False,False,True,ok
HATHWAY,INE982F01036,Hathway Cable & Datacom Limited,True,Ambani,owner_confirmed_individual,OWNER,OWNER,75.0,13.61,True,Owner,False,False,False,False,False,ok
JIOFIN,INE758E01017,Jio Financial Services Limited,True,Ambani,owner_confirmed_individual_and_director,OWNER,OWNER,47.12,0.88,True,Owner,True,True,True,True,True,ok
RELIANCE,INE002A01018,Reliance Industries Limited,True,Ambani,owner_confirmed_individual_and_director,OWNER,OWNER,50.01,1.0,True,Owner,True,True,True,True,True,ok
RELINFRA,INE036A01016,Reliance Infrastructure Limited,True,Ambani,owner_confirmed_individual_and_director,OWNER,OWNER,19.05,0.16,True,Owner,False,False,False,False,False,ok
RPOWER,INE614G01033,Reliance Power Limited,True,Ambani,owner_confirmed_individual_and_director,OWNER,OWNER,24.98,0.05,True,Owner,False,False,False,True,True,ok
BAJAJ-AUTO,INE917I01010,Bajaj Auto Limited,True,Bajaj,owner_confirmed_individual_and_director,OWNER,OWNER,54.99,7.95,True,Owner,True,True,True,True,True,ok
BAJAJCON,INE933K01021,Bajaj Consumer Care Limited,True,Bajaj,owner_confirmed_director_only,OWNER,OWNER,42.97,0.01,True,Owner,False,False,False,False,False,ok
BAJAJELEC,INE193E01025,Bajaj Electricals Limited,True,Bajaj,owner_confirmed_individual_and_director,OWNER,OWNER,62.69,16.22,False,,False,False,False,False,True,ok
BAJAJFINSV,INE918I01026,Bajaj Finserv Limited,True,Bajaj,owner_confirmed_individual_and_director,OWNER,OWNER,58.81,7.23,True,Owner,True,True,True,True,True,ok
BAJAJHFL,INE377Y01014,Bajaj Housing Finance Limited,True,Bajaj,owner_confirmed_director_only,OWNER,OWNER,86.7,0.0,False,,False,False,False,True,True,ok
BAJAJHIND,INE306A01021,Bajaj Hindusthan Sugar Limited,True,Bajaj,owner_confirmed_individual_and_director,OWNER,OWNER,13.43,4.75,True,Owner,False,False,False,False,False,ok
BAJAJHLDNG,INE118A01012,Bajaj Holdings & Investment Limited,True,Bajaj,owner_confirmed_individual_and_director,OWNER,OWNER,51.46,7.09,True,Owner,False,True,True,True,True,ok
BAJFINANCE,INE296A01032,Bajaj Finance Limited,True,Bajaj,owner_confirmed_individual_and_director,OWNER,OWNER,54.7,0.19,True,Owner,True,True,True,True,True,ok
EMIL,INE02YR01019,Electronics Mart India Limited,True,Bajaj,owner_confirmed_individual,OWNER,OWNER,65.17,65.17,True,Owner,False,False,False,False,True,ok
MAHSCOOTER,INE288A01013,Maharashtra Scooters Limited,True,Bajaj,owner_confirmed_director_only,OWNER,OWNER,51.0,0.0,False,,False,False,False,False,True,ok
MEDANTA,INE474Q01031,Global Health Limited,True,Bajaj,owner_confirmed_individual_and_director,OWNER,OWNER,33.01,43.849999999999994,True,Owner,False,False,False,True,True,ok
METROPOLIS,INE112L01020,Metropolis Healthcare Limited,True,Bajaj,owner_confirmed_individual_and_director,OWNER,OWNER,48.87,0.42,True,Owner,False,False,False,False,True,ok
NETWEB,INE0NT901020,Netweb Technologies India Limited,True,Bajaj|Lodha,owner_confirmed_individual_and_director,OWNER,OWNER,66.98,66.98,False,,False,False,False,True,True,ok
BANDHANBNK,INE545U01014,Bandhan Bank Limited,True,Bandhan (Ghosh),owner_confirmed_director_only,OWNER,OWNER,39.74,0.0,True,Owner,False,False,False,True,True,ok
ABREL,INE055A01016,Aditya Birla Real Estate Limited,True,Birla,owner_confirmed_director_only,OWNER,OWNER,50.21,0.01,True,Owner,False,False,False,True,True,ok
ABSLAMC,INE404A01024,Aditya Birla Sun Life AMC Limited,True,Birla,owner_confirmed_individual_and_director,OWNER,OWNER,74.82,0.01,True,Owner,False,False,False,True,True,ok
BSOFT,INE836A01035,BIRLASOFT LIMITED,True,Birla,owner_confirmed_director_only,OWNER,OWNER,40.51,0.21,True,Owner,False,False,False,True,True,ok
INDIACEM,INE383A01012,The India Cements Limited,True,Birla (UltraTech),owner_confirmed_director_only,OWNER,OWNER,75.0,0.0,True,Owner,False,False,False,True,True,ok
ABCAPITAL,INE674K01013,Aditya Birla Capital Limited,True,Birla|Bajaj,owner_confirmed_individual_and_director,OWNER,OWNER,68.51,0.18,True,Owner,False,False,True,True,True,ok
