item_id,meeting_date,meeting_title,doc_type,doc_date,filename,text_url,pdf_url,release_date
23214,1994-03-22,"Meeting, March 22, 1994",beige_book,1994-03-09,fomc19940322beige19940309.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19940322beige19940309.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19940322beige19940309.pdf,1994-03-09
23217,1994-05-17,"Meeting, May 17, 1994",beige_book,1994-05-04,fomc19940517beige19940504.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19940517beige19940504.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19940517beige19940504.pdf,1994-05-04
23218,1994-07-05,"Meeting, July 5-6, 1994",beige_book,1994-06-22,fomc19940706beige19940622.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19940706beige19940622.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19940706beige19940622.pdf,1994-06-22
23219,1994-08-16,"Meeting, August 16, 1994",beige_book,1994-08-03,fomc19940816beige19940803.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19940816beige19940803.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19940816beige19940803.pdf,1994-08-03
23131,1994-09-27,"Meeting, September 27, 1994",beige_book,1994-09-14,fomc19940927beige19940914.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19940927beige19940914.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19940927beige19940914.pdf,1994-09-14
23330,1994-11-15,"Meeting, November 15, 1994",beige_book,1994-11-02,fomc19941115beige19941102.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19941115beige19941102.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19941115beige19941102.pdf,1994-11-02
23220,1994-12-20,"Meeting, December 20, 1994",beige_book,1994-12-07,fomc19941220beige19941207.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19941220beige19941207.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19941220beige19941207.pdf,1994-12-07
23222,1995-01-31,"Meeting, January 31-February 1, 1995",beige_book,1995-01-18,fomc19950201beige19950118.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19950201beige19950118.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19950201beige19950118.pdf,1995-01-18
23224,1995-03-28,"Meeting, March 28, 1995",beige_book,1995-03-15,fomc19950328beige19950315.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19950328beige19950315.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19950328beige19950315.pdf,1995-03-15
23225,1995-05-23,"Meeting, May 23, 1995",beige_book,1995-05-10,fomc19950523beige19950510.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19950523beige19950510.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19950523beige19950510.pdf,1995-05-10
23226,1995-07-05,"Meeting, July 5-6, 1995",beige_book,1995-06-21,fomc19950706beige19950621.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19950706beige19950621.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19950706beige19950621.pdf,1995-06-21
23139,1995-08-22,"Meeting, August 22, 1995",beige_book,1995-08-09,fomc19950822beige19950809.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19950822beige19950809.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19950822beige19950809.pdf,1995-08-09
23140,1995-09-26,"Meeting, September 26, 1995",beige_book,1995-09-13,fomc19950926beige19950913.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19950926beige19950913.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19950926beige19950913.pdf,1995-09-13
23141,1995-11-15,"Meeting, November 15, 1995",beige_book,1995-11-01,fomc19951115beige19951101.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19951115beige19951101.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19951115beige19951101.pdf,1995-11-01
23327,1995-12-19,"Meeting, December 19, 1995",beige_book,1995-12-06,fomc19951219beige19951206.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19951219beige19951206.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19951219beige19951206.pdf,1995-12-06
23142,1996-01-30,"Meeting, January 30-31, 1996",beige_book,1996-01-17,fomc19960131beige19960117.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19960131beige19960117.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19960131beige19960117.pdf,1996-01-17
23149,1996-03-26,"Meeting, March 26, 1996",beige_book,1996-03-13,fomc19960326beige19960313.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19960326beige19960313.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19960326beige19960313.pdf,1996-03-13
23150,1996-05-21,"Meeting, May 21, 1996",beige_book,1996-05-08,fomc19960521beige19960508.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19960521beige19960508.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19960521beige19960508.pdf,1996-05-08
23151,1996-07-02,"Meeting, July 2-3, 1996",beige_book,1996-06-19,fomc19960703beige19960619.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19960703beige19960619.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19960703beige19960619.pdf,1996-06-19
23227,1996-08-20,"Meeting, August 20, 1996",beige_book,1996-08-07,fomc19960820beige19960807.txt,https://fraser.stlouisfed.org/files/text/historical/FOMC/meetingdocuments/fomc19960820beige19960807.txt,https://fraser.stlouisfed.org/docs/historical/FOMC/meetingdocuments/fomc19960820beige19960807.pdf,1996-08-07
